time,open,high,low,close,volume
2022-11-10,77.25,77.46,76.21,76.83,167769
2022-11-11,78.29,79.92,77.38,78.21,162200
2022-11-14,78.21,81.58,75.79,81.21,240201
2022-11-15,81.17,81.17,77.67,77.67,159162
2022-11-16,75.79,77.46,75.29,75.29,271461
2022-11-17,76.17,80.54,74.75,76.21,282635
2022-11-18,77.21,77.25,74.34,74.63,295493
2022-11-21,75.79,76.63,74.96,76.04,73479
2022-11-22,75.25,77.04,75.0,75.46,103209
2022-11-23,75.29,76.21,75.29,75.79,54115
2022-11-24,76.21,76.21,74.96,75.17,152677
2022-11-25,75.17,75.88,74.92,74.96,144610
2022-11-28,69.71,74.96,69.71,73.75,297834
2022-11-29,73.79,74.92,72.59,73.29,310923
2022-11-30,74.88,75.25,73.34,74.96,288494
2022-12-01,74.54,75.17,72.88,73.05,378063
2022-12-02,73.09,75.29,73.09,73.71,307668
2022-12-05,73.75,75.38,73.75,74.84,167428
2022-12-06,74.79,74.96,74.09,74.34,250701
2022-12-07,73.54,74.92,73.5,74.54,214300
2022-12-08,74.92,74.96,73.71,74.13,188346
2022-12-09,74.67,74.67,73.71,74.13,217859
2022-12-12,74.13,74.92,74.13,74.25,236167
2022-12-13,74.25,74.75,74.13,74.13,362046
2022-12-14,74.71,74.84,73.84,74.54,252382
2022-12-15,74.59,74.88,74.29,74.54,139733
2022-12-16,74.54,74.54,73.75,73.75,426041
2022-12-19,73.79,74.34,72.88,72.88,162297
2022-12-20,73.05,74.78,72.67,73.09,306574
2022-12-21,72.88,74.53,72.88,73.94,173011
2022-12-22,74.06,75.16,74.06,74.06,123350
2022-12-23,74.74,74.78,73.94,73.94,75318
2022-12-26,74.36,74.74,73.09,73.09,220909
2022-12-27,74.06,74.53,72.46,72.46,138580
2022-12-28,72.58,74.57,72.5,74.57,157082
2022-12-29,73.3,74.23,73.05,73.05,103504
2022-12-30,73.51,74.32,70.51,70.51,167351
2023-01-03,72.29,73.3,71.06,71.4,121713
2023-01-04,71.49,73.51,71.4,72.46,116979
2023-01-05,72.67,77.53,72.46,73.6,255431
2023-01-06,74.87,77.15,73.6,76.34,130314
2023-01-09,75.84,76.89,74.27,75.88,47064
2023-01-10,75.92,76.13,74.4,74.4,101469
2023-01-11,76.05,76.85,76.05,76.47,155165
2023-01-12,76.89,76.89,75.63,75.96,30404
2023-01-13,75.96,78.75,75.96,78.54,218533
2023-01-16,79.43,80.23,78.63,79.64,105654
2023-01-17,79.43,79.64,77.02,79.01,88786
2023-01-18,81.12,81.12,79.01,79.01,75333
2023-01-19,80.27,81.54,78.46,78.46,201867
2023-01-27,78.5,82.39,78.5,81.58,133901
2023-01-30,81.58,81.58,80.06,80.27,178084
2023-01-31,79.01,80.61,78.79,79.85,55652
2023-02-01,79.85,80.48,78.84,79.01,170831
2023-02-02,80.27,80.91,78.63,79.22,88754
2023-02-03,78.5,81.46,78.5,81.46,105498
2023-02-06,80.48,82.55,80.32,82.55,79187
2023-02-07,81.12,83.23,80.78,80.78,28984
2023-02-08,79.85,83.86,79.85,83.32,110180
2023-02-09,83.36,84.08,81.12,81.88,50063
2023-02-10,82.81,82.81,79.94,80.02,70941
2023-02-13,79.85,81.08,78.75,81.08,88082
2023-02-14,81.5,81.5,79.05,79.43,51574
2023-02-15,79.47,80.91,79.43,79.85,77155
2023-02-16,79.47,80.48,79.43,80.15,27770
2023-02-17,80.15,80.27,78.84,79.05,45409
2023-02-20,80.7,81.5,79.64,80.36,69972
2023-02-21,79.26,80.61,79.26,80.48,84600
2023-02-22,80.7,80.7,79.01,79.01,82202
2023-02-23,79.85,79.89,78.16,79.05,78070
2023-02-24,79.05,80.1,78.16,79.85,98821
2023-02-27,80.27,80.27,78.2,78.29,57696
2023-02-28,80.27,80.4,78.37,79.43,96998
2023-03-01,78.58,81.33,78.41,81.33,41440
2023-03-02,80.1,80.69,79.46,79.89,38337
2023-03-03,80.4,80.4,78.65,79.42,92460
2023-03-06,81.5,81.5,78.57,78.57,76418
2023-03-07,78.99,80.27,78.65,79.38,122740
2023-03-08,78.31,79.21,78.31,79.21,97479
2023-03-09,79.21,79.46,79.16,79.21,216789
2023-03-10,78.44,79.46,78.44,78.82,266761
2023-03-13,79.33,79.42,78.99,79.42,353629
2023-03-14,79.72,80.69,79.42,80.69,261500
2023-03-15,80.95,81.33,80.31,80.48,233815
2023-03-16,80.65,83.24,79.42,81.12,308163
2023-03-17,81.12,81.54,80.35,81.54,407112
2023-03-20,80.74,81.63,79.04,80.27,42572
2023-03-21,80.27,80.69,78.95,78.99,141737
2023-03-22,78.78,80.23,77.93,79.63,181701
2023-03-23,79.63,79.93,78.23,79.84,86560
2023-03-24,78.57,79.93,78.57,79.76,130729
2023-03-27,79.04,79.84,78.82,78.99,58488
2023-03-28,78.99,79.21,78.65,78.99,59861
2023-03-29,79.33,79.33,78.19,78.74,60107
2023-03-30,79.12,79.12,78.31,78.57,70120
2023-03-31,78.57,78.91,77.93,78.44,66534
2023-04-03,78.14,78.36,76.87,76.87,94103
2023-04-04,76.96,77.13,75.51,75.6,165102
2023-04-05,75.64,75.64,74.53,74.96,167152
2023-04-06,75.81,75.81,74.96,75.13,147454
2023-04-07,75.17,75.55,74.79,75.17,65541
2023-04-10,75.43,75.43,74.75,75.0,193779
2023-04-11,74.66,74.83,74.32,74.32,131496
2023-04-12,73.98,73.98,72.5,72.62,336200
2023-04-13,72.84,73.35,71.56,71.99,186647
2023-04-14,71.99,72.2,70.92,70.92,276997
2023-04-17,70.75,70.92,69.65,69.65,233121
2023-04-18,69.95,71.35,69.91,70.42,180040
2023-04-19,71.22,72.62,70.58,72.37,329471
2023-04-20,72.92,73.64,72.41,72.41,246631
2023-04-21,73.26,73.3,72.41,72.41,170200
2023-04-24,72.41,72.71,72.41,72.67,126828
2023-04-25,72.67,72.71,71.77,72.62,197810
2023-04-26,72.62,72.84,72.54,72.62,177595
2023-04-27,72.62,73.9,71.99,73.9,154852
2023-04-28,74.02,74.24,73.05,73.05,75525
2023-05-04,73.05,73.05,70.54,70.75,108279
2023-05-05,70.84,71.14,70.2,70.29,110357
2023-05-08,70.5,70.84,70.42,70.71,68018
2023-05-09,70.92,70.92,70.08,70.12,79636
2023-05-10,70.12,70.42,70.12,70.16,101416
2023-05-11,70.2,71.77,69.65,69.86,164530
2023-05-12,70.25,70.37,69.18,69.61,149936
2023-05-15,69.95,70.33,69.65,69.69,119316
2023-05-16,70.08,70.08,69.14,69.23,73688
2023-05-17,69.23,69.23,68.84,69.01,103382
2023-05-18,69.01,69.23,68.63,68.93,180313
2023-05-19,68.93,68.93,67.99,68.25,76255
2023-05-22,68.25,68.72,68.04,68.25,66710
2023-05-23,68.59,68.72,67.19,67.53,145123
2023-05-24,67.78,67.91,67.31,67.31,116581
2023-05-25,67.31,67.44,66.25,67.1,98068
2023-05-26,67.1,67.1,65.83,66.04,71131
2023-05-29,66.08,66.85,65.91,65.96,91386
2023-05-30,66.0,66.38,65.96,66.25,145827
2023-05-31,66.25,67.31,66.25,67.1,158142
2023-06-01,66.42,67.53,66.42,67.19,126346
2023-06-02,67.74,67.74,66.93,67.1,138837
2023-06-05,67.95,68.08,67.57,67.7,113557
2023-06-06,67.91,67.99,67.65,67.95,126962
2023-06-07,67.99,68.08,67.78,67.87,205261
2023-06-08,68.04,68.04,67.74,67.87,158445
2023-06-09,68.38,68.38,67.74,67.74,27596
2023-06-12,67.78,69.54,67.78,69.45,109454
2023-06-13,69.5,69.54,68.85,69.37,84729
2023-06-14,69.37,70.1,68.85,69.45,203504
2023-06-15,69.8,69.8,68.17,68.17,108826
2023-06-16,69.03,69.03,66.45,66.45,235092
2023-06-19,67.31,67.31,66.84,67.22,129833
2023-06-20,67.22,67.22,66.54,66.58,98003
2023-06-21,66.58,66.8,66.2,66.45,136951
2023-06-22,66.88,66.88,66.37,66.37,146129
2023-06-23,66.37,67.1,66.2,67.1,198714
2023-06-26,67.7,67.7,66.88,66.88,140069
2023-06-27,66.71,67.31,66.2,66.2,194770
2023-06-28,66.62,66.62,66.28,66.32,84963
2023-06-29,66.54,66.54,66.02,66.02,179854
2023-06-30,66.2,66.2,65.81,65.85,152764
2023-07-03,66.02,66.37,65.81,65.9,78380
2023-07-04,65.9,66.15,65.77,65.85,99059
2023-07-05,65.94,66.37,65.85,65.94,80027
2023-07-06,65.94,66.02,65.77,65.77,91589
2023-07-07,65.85,66.2,64.7,64.74,203825
2023-07-10,64.78,64.87,64.31,64.44,198740
2023-07-11,64.31,64.65,64.31,64.31,203662
2023-07-12,64.31,65.17,64.31,64.74,99205
2023-07-13,64.82,66.02,64.82,65.81,206883
2023-07-14,65.85,65.94,65.64,65.94,119440
2023-07-17,66.15,66.5,65.6,65.81,121321
2023-07-18,65.94,66.11,65.42,65.64,123270
2023-07-19,65.64,65.85,65.51,65.51,151271
2023-07-20,65.51,65.98,65.47,65.68,111083
2023-07-21,65.64,65.68,65.34,65.64,122520
2023-07-24,65.72,66.67,65.72,66.45,232461
2023-07-25,66.8,67.78,66.54,67.74,379903
2023-07-26,67.7,69.37,67.7,69.28,199814
2023-07-27,69.03,69.24,68.38,68.68,151733
2023-07-28,68.6,68.68,67.31,67.31,324848
2023-07-31,67.27,68.47,67.14,67.22,275767
2023-08-01,68.21,68.6,67.74,67.91,132722
2023-08-02,68.3,68.3,67.61,68.12,122483
2023-08-03,68.43,69.24,68.17,69.24,280516
2023-08-04,69.67,69.67,68.38,68.81,246191
2023-08-07,68.68,69.54,68.43,69.03,285605
2023-08-08,69.58,69.58,68.85,69.28,168973
2023-08-09,69.28,69.33,68.73,69.03,127854
2023-08-10,69.15,69.15,68.6,68.85,181110
2023-08-11,68.6,68.85,67.95,68.38,187621
2023-08-14,68.17,68.43,67.74,67.74,163400
2023-08-15,67.74,67.74,67.18,67.44,147896
2023-08-16,68.17,68.38,67.31,67.44,218632
2023-08-17,67.44,67.44,66.67,66.75,325963
2023-08-18,66.67,67.95,65.47,65.85,305826
2023-08-21,66.24,66.24,65.17,65.47,208436
2023-08-22,65.47,65.77,64.31,64.31,391792
2023-08-23,65.38,65.51,64.31,64.35,353811
2023-08-24,66.41,66.45,65.68,65.81,609870
2023-08-25,66.58,67.82,66.32,66.97,431279
2023-08-28,67.74,67.74,66.84,67.01,287470
2023-08-29,67.1,68.3,66.84,67.78,275818
