CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
VHM,2021,4,0.08836783709706968,23412970000000,11932494000000,0.037383197070131054,3731525000000,-623512000000,23412970000000,23412970000000,-9314354000000,14098616000000,-1087566000000,0,-1014182000000,-1938095000000,13790298000000,336453000000,-528000000,335925000000,14126223000000,-2131299000000,-8633000000,11986291000000,53797000000,11932494000000
VHM,2021,3,-0.21913092481746874,20679434000000,11166795000000,0.8432161319943264,1393589000000,-502411000000,20679434000000,20679434000000,-7031668000000,13647766000000,-512234000000,22214000000,-276111000000,-384052000000,13891172000000,-31216000000,-48450000000,-79666000000,13811506000000,-2600532000000,-15871000000,11195103000000,28308000000,11166795000000
VHM,2021,2,0.710692198727419,28015120000000,10551404000000,2.0719586997357595,551356000000,-612507000000,28015120000000,28015120000000,-13594810000000,14420310000000,-778019000000,10620000000,-553821000000,-198256000000,13452190000000,76095000000,-57912000000,18183000000,13470373000000,-2988395000000,120318000000,10602296000000,50892000000,10551404000000
VHM,2021,1,0.9920225167903419,12986441000000,5396149000000,-0.21153093932331174,2307064000000,-594679000000,12986441000000,12986441000000,-6774097000000,6212344000000,-360609000000,20645000000,-456893000000,-668093000000,7054458000000,43788000000,-13255000000,30533000000,7084991000000,-1238110000000,-369119000000,5477762000000,81613000000,5396149000000
VHM,2020,4,0.5166685831832963,21512001000000,11502494000000,0.9230489130943608,10175493000000,-592103000000,21512001000000,21512001000000,-14213763000000,7298238000000,-1189877000000,0,-779650000000,-838466000000,14665738000000,180978000000,1002000000,181980000000,14847718000000,-3170739000000,-117427000000,11559552000000,57058000000,11502494000000
VHM,2020,3,1.4282445962030341,26482588000000,6058321000000,0.10746469815554775,1119267000000,-1088425000000,26482588000000,26482588000000,-17367779000000,9114809000000,-1204365000000,0,-1126436000000,-450101000000,7453174000000,63454000000,-14150000000,49304000000,7502478000000,-1964622000000,608401000000,6146257000000,87936000000,6058321000000
VHM,2020,2,-0.21580479333189528,16376482000000,3434748000000,-0.5303092142493606,832443000000,-685286000000,16376482000000,16376482000000,-9951729000000,6424753000000,-673527000000,0,-554156000000,-551123000000,5478390000000,40847000000,-946193000000,-905346000000,4573044000000,-1181375000000,24588000000,3416257000000,-18491000000,3434748000000
VHM,2020,1,0.11390131816312611,6519224000000,6843831000000,1.6942291833399834,8590964000000,-618346000000,6519224000000,6519224000000,-3570342000000,2948882000000,-634134000000,0,-244860000000,-533280000000,10127572000000,23986000000,-28010000000,-4024000000,10123548000000,-2337395000000,-141088000000,7645065000000,801234000000,6843831000000
VHM,2019,4,-0.13516422931270172,14183719000000,5981384000000,1.5483905896174226,1388026000000,-583814000000,14183719000000,14183719000000,-4165309000000,10018410000000,-588733000000,0,-1211830000000,-1021602000000,8584271000000,91726000000,-31313000000,60413000000,8644684000000,-1771894000000,-14330000000,6858460000000,877076000000,5981384000000
VHM,2019,3,0.5856012136745586,10906062775311,5470441640343,0.4216328502494891,2339859130152,-716784130339,10906062775311,10906062775311,-4140442059199,6765620716112,-787381857773,0,-364088888147,-280780496211,7673228604133,27850296586,-75416548649,-47566252063,7625662352070,-1185222657418,-298809552337,6141630142315,671188501972,5470441640343
