time,open,high,low,close,volume
2023-01-03 07:00:00,84.16,84.16,82.22,82.77,221100
2023-01-04 07:00:00,82.77,82.96,81.94,82.31,208800
2023-01-05 07:00:00,83.61,83.61,82.13,82.77,189100
2023-01-06 07:00:00,82.77,82.87,82.12,82.12,138100
2023-01-09 07:00:00,81.47,82.5,81.0,82.12,151600
2023-01-10 07:00:00,82.22,82.22,81.28,81.94,155400
2023-01-11 07:00:00,81.94,81.94,80.82,80.82,263800
2023-01-12 07:00:00,80.82,80.82,79.7,80.07,166400
2023-01-13 07:00:00,80.17,81.19,80.17,80.35,197300
2023-01-16 07:00:00,80.45,82.87,80.45,81.47,430900
2023-01-17 07:00:00,81.56,82.87,81.47,81.94,288700
2023-01-18 07:00:00,83.24,83.24,81.38,82.4,336700
2023-01-19 07:00:00,81.56,82.77,81.56,82.77,591300
2023-01-27 07:00:00,83.43,88.55,83.43,87.52,1430700
2023-01-30 07:00:00,88.45,88.45,85.75,85.85,351500
2023-01-31 07:00:00,84.73,86.68,83.7,83.98,602900
2023-02-01 07:00:00,83.89,85.2,80.07,80.73,465000
2023-02-02 07:00:00,81.66,81.66,79.24,79.61,607600
2023-02-03 07:00:00,79.89,79.98,76.44,76.44,2089000
2023-02-06 07:00:00,76.91,79.24,76.91,78.03,345800
2023-02-07 07:00:00,78.86,78.86,76.82,77.37,309100
2023-02-08 07:00:00,77.37,78.12,76.44,77.19,292400
2023-02-09 07:00:00,77.0,77.75,76.91,77.19,404300
2023-02-10 07:00:00,77.19,78.03,77.0,77.56,469100
2023-02-13 07:00:00,77.56,78.4,76.82,77.75,410400
2023-02-14 07:00:00,77.47,77.47,75.7,76.44,264400
2023-02-15 07:00:00,76.35,76.54,75.79,76.35,240400
2023-02-16 07:00:00,76.35,76.91,76.16,76.91,183700
2023-02-17 07:00:00,76.91,77.37,76.26,77.28,242900
2023-02-20 07:00:00,77.28,78.68,77.0,78.68,363500
2023-02-21 07:00:00,79.05,79.89,78.31,78.68,418800
2023-02-22 07:00:00,78.21,78.21,77.28,77.28,320800
2023-02-23 07:00:00,76.91,77.28,75.42,76.44,351100
2023-02-24 07:00:00,76.35,76.44,74.11,75.42,531700
2023-02-27 07:00:00,74.49,74.49,70.86,70.86,590600
2023-02-28 07:00:00,70.95,72.16,70.95,71.6,262200
2023-03-01 07:00:00,71.69,72.35,70.86,72.25,265800
2023-03-02 07:00:00,72.62,74.77,72.62,74.77,296800
2023-03-03 07:00:00,74.77,75.33,73.18,73.93,221300
2023-03-06 07:00:00,74.3,74.3,72.9,73.09,134600
