feature,importance
return_1d_std_20,0.046624071323225914
return_1d_std_10,0.04160260736076573
volatility_20d,0.03981046933278451
return_1d_min_10,0.033843435191478664
return_1d_min_20,0.03259111105447946
return_1d_max_20,0.028379205023032903
hl_range,0.02806707072953466
sma20_vs_sma50,0.02631192832503647
price_vs_sma50,0.021452108521662575
volatility_5d,0.020409226667956686
return_1d_max_10,0.019718221308375805
return_1d_std_5,0.019141348869510327
return_1d_min_5,0.018614046435755618
sma_50,0.017811659860697496
sma_20,0.017121120174611027
return_1d_max_5,0.016106959505601308
return_1d_mean_20,0.015966824223642064
macd_signal,0.01585141304804086
macd,0.01583602177066536
sma_10,0.01572571337242834
sma_5,0.015286883357931526
macd_diff_lag5,0.01517113147151478
volume_min_20,0.014645266603186848
return_20d,0.014612345347188024
volume_min_10,0.014533550427046293
price_vs_sma20,0.013230810174269426
macd_diff,0.01322125882765604
volume_std_20,0.01313537175765774
sma5_vs_sma20,0.012885473109245121
volume_min_5,0.012709928528071096
return_1d_mean_10,0.012578319396903452
momentum_20,0.012496106521500124
volume_mean_20,0.012461714982416687
volume_max_5,0.012431983297835564
macd_diff_lag3,0.012410193859483921
macd_diff_lag2,0.0123503863834829
return_1d_mean_5,0.012274324763968822
return_10d,0.012104694896252433
macd_diff_lag1,0.011857571355072564
volume_max_20,0.011689976391530238
volume_std_10,0.01157938405517144
return_5d,0.0114374132628193
volume_max_10,0.011389851310176669
rsi_14_lag5,0.011297531900121723
volume_std_5,0.011179757284087056
price_vs_sma5,0.011011856719129286
momentum_5,0.010826450330744761
rsi_14_lag3,0.010785270817626022
volume_mean_10,0.010681451697175541
volume_ma_5,0.010392988190590402
rsi_14,0.010281961712529836
rsi_14_lag1,0.01017019837679451
momentum_10,0.010059468379527436
return_1d,0.009938408798176422
rsi_14_lag2,0.009497764918018028
volume_mean_5,0.009342130134673554
return_1d_lag5,0.008932770444893021
volume_vs_ma,0.008694753297584864
volume_change_lag2,0.008666865651785774
volume_change_lag3,0.007970853541989393
volume_change,0.007549758506037561
return_1d_lag2,0.0072939292818713615
return_1d_lag1,0.0071754760266476885
volume_change_lag1,0.007169968315799
volume_change_lag5,0.007075714533268417
return_1d_lag3,0.0065261689612617
