date,symbol,action,price,shares,cost,pnl,reason,proceeds,return_pct,cumulative_pnl,portfolio_value
2024-12-30,CTG,BUY,26.68,374800,9999664.0,0.0,Score=7.4,,0.0,0.0,100000000.0
2025-04-08,CTG,SELL,24.69,374800,,-745852.0,STOP_LOSS,9253812.0,-0.745852,-745852.0,99254148.0
2024-12-30,SAB,BUY,52.77,188000,9920760.0,0.0,Score=7.4,,-0.745852,-745852.0,99254148.0
2025-02-11,SAB,SELL,48.54,188000,,-795240.0,STOP_LOSS,9125520.0,-1.541092,-1541092.0,98458908.0
2024-12-30,MWG,BUY,60.13,163700,9843281.0,0.0,Score=7.4,,-1.541092,-1541092.0,98458908.0
2025-02-11,MWG,SELL,55.6,163700,,-741561.0,STOP_LOSS,9101720.0,-2.2826530000000003,-2282653.0,97717347.0
2024-12-30,HPG,BUY,22.29,438300,9769707.0,0.0,Score=6.8,,-2.2826530000000003,-2282653.0,97717347.0
2025-04-04,HPG,SELL,20.5,438300,,-784557.0,STOP_LOSS,8985150.0,-3.06721,-3067210.0,96932790.0
2024-12-30,VRE,BUY,17.15,565200,9693180.0,0.0,Score=6.8,,-3.06721,-3067210.0,96932790.0
2025-03-25,VRE,SELL,19.8,565200,,1497780.0,TAKE_PROFIT,11190960.0,-1.56943,-1569430.0,98430570.0
2024-12-30,BID,BUY,37.83,260100,9839583.0,0.0,Score=6.8,,-1.56943,-1569430.0,98430570.0
2025-04-08,BID,SELL,33.13,260100,,-1222470.0,STOP_LOSS,8617113.0,-2.7919,-2791900.0,97208100.0
2024-12-30,STB,BUY,37.85,256800,9719880.0,0.0,Score=6.6,,-2.7919,-2791900.0,97208100.0
2025-01-10,STB,SELL,35.2,256800,,-680520.0,STOP_LOSS,9039360.0,-3.4724199999999996,-3472420.0,96527580.0
2024-12-30,VNM,BUY,58.4,165200,9647680.0,0.0,Score=6.2,,-3.4724199999999996,-3472420.0,96527580.0
2025-04-03,VNM,SELL,52.12,165200,,-1037456.0,STOP_LOSS,8610224.0,-4.509876,-4509876.0,95490124.0
2024-12-30,SHB,BUY,7.87,1213300,9548671.0,0.0,Score=6.2,,-4.509876,-4509876.0,95490124.0
2025-03-14,SHB,SELL,9.12,1213300,,1516624.9999999981,TAKE_PROFIT,11065295.999999998,-2.993251000000002,-2993251.000000002,97006749.0
2024-12-30,FRT,BUY,148.0,65500,9694000.0,0.0,Score=6.2,,-2.993251000000002,-2993251.000000002,97006749.0
2025-03-24,FRT,SELL,137.6,65500,,-681200.0,STOP_LOSS,9012800.0,-3.674451000000002,-3674451.000000002,96325549.0
2024-12-30,PNJ,BUY,95.34,101000,9629340.0,0.0,Score=6.2,,-3.674451000000002,-3674451.000000002,96325549.0
2025-03-13,PNJ,SELL,88.54,101000,,-686800.0,STOP_LOSS,8942540.0,-4.361251000000002,-4361251.000000002,95638749.0
