date,symbol,action,price,shares,cost,pnl,reason,proceeds,return_pct,cumulative_pnl,portfolio_value
2024-12-31,CTG,BUY,25.93,385600,9998608.0,0.0,Score=7.4,,0.0,0.0,100000000.0
2025-04-09,CTG,SELL,23.18,385600,,-1060400.0,STOP_LOSS,8938208.0,-1.0604,-1060400.0,98939600.0
2024-12-31,SAB,BUY,52.21,189500,9893795.0,0.0,Score=7.4,,-1.0604,-1060400.0,98939600.0
2025-02-11,SAB,SELL,48.54,189500,,-695465.0,STOP_LOSS,9198330.0,-1.7558649999999998,-1755865.0,98244135.0
2024-12-31,HPG,BUY,22.21,442300,9823483.0,0.0,Score=6.8,,-1.7558649999999998,-1755865.0,98244135.0
2025-04-04,HPG,SELL,20.5,442300,,-756333.0,STOP_LOSS,9067150.0,-2.5121979999999997,-2512198.0,97487802.0
2024-12-31,MWG,BUY,60.13,162100,9747073.0,0.0,Score=6.2,,-2.5121979999999997,-2512198.0,97487802.0
2025-02-11,MWG,SELL,55.6,162100,,-734313.0,STOP_LOSS,9012760.0,-3.246511,-3246511.0,96753489.0
2024-12-31,VNM,BUY,58.49,165400,9674246.0,0.0,Score=6.2,,-3.246511,-3246511.0,96753489.0
2025-04-03,VNM,SELL,52.12,165400,,-1053598.0,STOP_LOSS,8620648.0,-4.300109,-4300109.0,95699891.0
2024-12-31,FRT,BUY,148.48,64400,9562112.0,0.0,Score=6.2,,-4.300109,-4300109.0,95699891.0
2025-03-24,FRT,SELL,137.6,64400,,-700672.0,STOP_LOSS,8861440.0,-5.000781,-5000781.0,94999219.0
2024-12-31,PNJ,BUY,95.73,99200,9496416.0,0.0,Score=6.2,,-5.000781,-5000781.0,94999219.0
2025-03-13,PNJ,SELL,88.54,99200,,-713248.0,STOP_LOSS,8783168.0,-5.714029,-5714029.0,94285971.0
2024-12-31,SHB,BUY,7.87,1198000,9428260.0,0.0,Score=6.2,,-5.714029,-5714029.0,94285971.0
2025-03-14,SHB,SELL,9.12,1198000,,1497499.9999999981,TAKE_PROFIT,10925759.999999998,-4.216529000000002,-4216529.000000002,95783471.0
2024-12-31,VGI,BUY,90.79,105500,9578345.0,0.0,Score=6.0,,-4.216529000000002,-4216529.000000002,95783471.0
2025-01-10,VGI,SELL,84.36,105500,,-678365.0,STOP_LOSS,8899980.0,-4.894894000000002,-4894894.000000002,95105106.0
