date,symbol,action,price,shares,cost,pnl,reason,proceeds,return_pct,cumulative_pnl,portfolio_value
2025-01-08,STB,BUY,36.7,272400,9997080.0,0.0,Score=8.2,,0.0,0.0,100000000.0
2025-04-09,STB,SELL,33.1,272400,,-980640.0,STOP_LOSS,9016440.0,-0.98064,-980640.0,99019360.0
2025-01-08,ACB,BUY,20.89,474000,9901860.0,0.0,Score=7.6,,-0.98064,-980640.0,99019360.0
2025-04-08,ACB,SELL,18.51,474000,,-1128120.0,STOP_LOSS,8773740.0,-2.10876,-2108760.0,97891240.0
2025-01-08,SHB,BUY,7.91,1237500,9788625.0,0.0,Score=7.4,,-2.10876,-2108760.0,97891240.0
2025-03-14,SHB,SELL,9.12,1237500,,1497374.9999999981,TAKE_PROFIT,11285999.999999998,-0.6113850000000018,-611385.0000000019,99388615.0
2025-01-08,DGW,BUY,37.33,266200,9937246.0,0.0,Score=7.4,,-0.6113850000000018,-611385.0000000019,99388615.0
2025-04-04,DGW,SELL,32.7,266200,,-1232506.0,STOP_LOSS,8704740.0,-1.843891000000002,-1843891.0000000019,98156109.0
2025-01-08,VPB,BUY,18.35,534900,9815415.0,0.0,Score=6.8,,-1.843891000000002,-1843891.0000000019,98156109.0
2025-04-04,VPB,SELL,16.99,534900,,-727464.0,STOP_LOSS,9087951.0,-2.571355000000002,-2571355.000000002,97428645.0
2025-01-08,BID,BUY,39.91,244100,9742031.0,0.0,Score=6.4,,-2.571355000000002,-2571355.000000002,97428645.0
2025-04-03,BID,SELL,35.6,244100,,-1052071.0,STOP_LOSS,8689960.0,-3.623426000000002,-3623426.000000002,96376574.0
2025-01-08,MWG,BUY,57.27,168200,9632814.0,0.0,Score=6.2,,-3.623426000000002,-3623426.000000002,96376574.0
2025-04-04,MWG,SELL,52.05,168200,,-878004.0,STOP_LOSS,8754810.0,-4.501430000000002,-4501430.000000002,95498570.0
2025-01-08,FRT,BUY,147.2,64800,9538560.0,0.0,Score=6.2,,-4.501430000000002,-4501430.000000002,95498570.0
2025-03-25,FRT,SELL,136.0,64800,,-725760.0,STOP_LOSS,8812800.0,-5.227190000000002,-5227190.000000002,94772810.0
2025-01-08,SAB,BUY,50.52,187500,9472500.0,0.0,Score=6.2,,-5.227190000000002,-5227190.000000002,94772810.0
2025-03-24,SAB,SELL,46.94,187500,,-671250.0,STOP_LOSS,8801250.0,-5.898440000000002,-5898440.000000002,94101560.0
2025-01-08,CTG,BUY,25.93,362900,9409997.0,0.0,Score=6.2,,-5.898440000000002,-5898440.000000002,94101560.0
2025-04-09,CTG,SELL,23.18,362900,,-997975.0,STOP_LOSS,8412022.0,-6.896415000000002,-6896415.000000002,93103585.0
2025-01-08,VHC,BUY,67.07,138800,9309315.999999998,0.0,Score=6.2,,-6.896415000000002,-6896415.000000002,93103585.0
2025-03-27,VHC,SELL,61.85,138800,,-724535.9999999981,STOP_LOSS,8584780.0,-7.620951,-7620951.0,92379049.0
2025-01-08,VGI,BUY,88.12,104800,9234976.0,0.0,Score=6.0,,-7.620951,-7620951.0,92379049.0
2025-02-24,VGI,SELL,79.7,104800,,-882416.0,STOP_LOSS,8352560.0,-8.503367,-8503367.0,91496633.0
