date,symbol,action,price,shares,cost,pnl,reason,proceeds,return_pct,cumulative_pnl,portfolio_value
2025-01-07,CTG,BUY,25.69,389200,9998548.0,0.0,Score=8.2,,0.0,0.0,100000000.0
2025-04-09,CTG,SELL,23.18,389200,,-976892.0,STOP_LOSS,9021656.0,-0.9768920000000001,-976892.0,99023108.0
2025-01-07,DGW,BUY,37.23,265900,9899457.0,0.0,Score=8.2,,-0.9768920000000001,-976892.0,99023108.0
2025-04-04,DGW,SELL,32.7,265900,,-1204527.0,STOP_LOSS,8694930.0,-2.181419,-2181419.0,97818581.0
2025-01-07,NT2,BUY,18.79,520500,9780195.0,0.0,Score=7.6,,-2.181419,-2181419.0,97818581.0
2025-04-08,NT2,SELL,16.55,520500,,-1165920.0,STOP_LOSS,8614275.0,-3.347339,-3347339.0,96652661.0
2025-01-07,BID,BUY,39.96,241800,9662328.0,0.0,Score=7.6,,-3.347339,-3347339.0,96652661.0
2025-04-03,BID,SELL,35.6,241800,,-1054248.0,STOP_LOSS,8608080.0,-4.401587,-4401587.0,95598413.0
2025-01-07,MWG,BUY,56.29,169800,9558042.0,0.0,Score=7.4,,-4.401587,-4401587.0,95598413.0
2025-04-04,MWG,SELL,52.05,169800,,-719952.0,STOP_LOSS,8838090.0,-5.121539,-5121539.0,94878461.0
2025-01-07,STB,BUY,36.9,257100,9486990.0,0.0,Score=7.0,,-5.121539,-5121539.0,94878461.0
2025-04-09,STB,SELL,33.1,257100,,-976980.0,STOP_LOSS,8510010.0,-6.0985190000000005,-6098519.0,93901481.0
2025-01-07,FRT,BUY,148.4,63200,9378880.0,0.0,Score=7.0,,-6.0985190000000005,-6098519.0,93901481.0
2025-03-24,FRT,SELL,137.6,63200,,-682560.0,STOP_LOSS,8696320.0,-6.781078999999999,-6781079.0,93218921.0
2025-01-07,VGI,BUY,89.31,104300,9315033.0,0.0,Score=6.8,,-6.781078999999999,-6781079.0,93218921.0
2025-01-15,VGI,SELL,82.38,104300,,-722799.0,STOP_LOSS,8592234.0,-7.503878,-7503878.0,92496122.0
2025-01-07,LPB,BUY,28.6,323400,9249240.0,0.0,Score=6.6,,-7.503878,-7503878.0,92496122.0
2025-01-24,LPB,SELL,33.39,323400,,1549086.0,TAKE_PROFIT,10798326.0,-5.954791999999999,-5954792.0,94045208.0
2025-01-07,VRE,BUY,16.95,554800,9403860.0,0.0,Score=6.4,,-5.954791999999999,-5954792.0,94045208.0
2025-03-25,VRE,SELL,19.8,554800,,1581180.0,TAKE_PROFIT,10985040.0,-4.3736120000000005,-4373612.0,95626388.0
2025-01-07,HPG,BUY,21.71,440400,9561084.0,0.0,Score=6.4,,-4.3736120000000005,-4373612.0,95626388.0
2025-04-08,HPG,SELL,19.08,440400,,-1158252.0,STOP_LOSS,8402832.0,-5.531864000000001,-5531864.0,94468136.0
2025-01-07,SSI,BUY,21.81,433100,9445911.0,0.0,Score=6.4,,-5.531864000000001,-5531864.0,94468136.0
2025-04-08,SSI,SELL,19.63,433100,,-944158.0,STOP_LOSS,8501753.0,-6.4760219999999995,-6476022.0,93523978.0
2025-01-17,BSR,BUY,13.37,699500,9352315.0,0.0,Score=6.4,,-6.4760219999999995,-6476022.0,93523978.0
2025-02-13,BSR,SELL,12.29,699500,,-755460.0,STOP_LOSS,8596855.0,-7.231482,-7231482.0,92768518.0
2025-01-07,TCB,BUY,23.04,402600,9275904.0,0.0,Score=6.2,,-7.231482,-7231482.0,92768518.0
2025-03-04,TCB,SELL,26.79,402600,,1509750.0,TAKE_PROFIT,10785654.0,-5.721732,-5721732.0,94278268.0
2025-01-07,SHB,BUY,7.87,1197900,9427473.0,0.0,Score=6.2,,-5.721732,-5721732.0,94278268.0
2025-03-14,SHB,SELL,9.12,1197900,,1497374.9999999981,TAKE_PROFIT,10924847.999999998,-4.224357000000002,-4224357.000000002,95775643.0
2025-01-07,VHC,BUY,66.78,143400,9576252.0,0.0,Score=6.2,,-4.224357000000002,-4224357.000000002,95775643.0
2025-03-27,VHC,SELL,61.85,143400,,-706962.0,STOP_LOSS,8869290.0,-4.931319000000002,-4931319.000000002,95068681.0
2025-01-07,SAB,BUY,50.52,188100,9502812.0,0.0,Score=6.2,,-4.931319000000002,-4931319.000000002,95068681.0
2025-03-24,SAB,SELL,46.94,188100,,-673398.0,STOP_LOSS,8829414.0,-5.604717000000002,-5604717.000000002,94395283.0
2025-01-07,FPT,BUY,128.08,73700,9439496.0,0.0,Score=6.2,,-5.604717000000002,-5604717.000000002,94395283.0
2025-02-25,FPT,SELL,118.61,73700,,-697939.0,STOP_LOSS,8741557.0,-6.3026560000000025,-6302656.000000002,93697344.0
