date,symbol,action,price,shares,cost,pnl,reason,proceeds,return_pct,cumulative_pnl,portfolio_value
2025-01-02,CTG,BUY,26.13,382700,9999951.0,0.0,Score=7.4,,0.0,0.0,100000000.0
2025-04-09,CTG,SELL,23.18,382700,,-1128965.0,STOP_LOSS,8870986.0,-1.128965,-1128965.0,98871035.0
2025-01-02,SAB,BUY,52.3,189000,9884700.0,0.0,Score=7.4,,-1.128965,-1128965.0,98871035.0
2025-02-11,SAB,SELL,48.54,189000,,-710640.0,STOP_LOSS,9174060.0,-1.8396050000000002,-1839605.0,98160395.0
2025-01-02,FRT,BUY,149.44,65600,9803264.0,0.0,Score=7.4,,-1.8396050000000002,-1839605.0,98160395.0
2025-03-24,FRT,SELL,137.6,65600,,-776704.0,STOP_LOSS,9026560.0,-2.616309,-2616309.0,97383691.0
2025-01-02,VPB,BUY,18.64,522400,9737536.0,0.0,Score=6.8,,-2.616309,-2616309.0,97383691.0
2025-04-04,VPB,SELL,16.99,522400,,-861960.0,STOP_LOSS,8875576.0,-3.4782689999999996,-3478269.0,96521731.0
2025-01-02,SHB,BUY,7.87,1226400,9651768.0,0.0,Score=6.2,,-3.4782689999999996,-3478269.0,96521731.0
2025-03-14,SHB,SELL,9.12,1226400,,1532999.9999999981,TAKE_PROFIT,11184767.999999998,-1.945269000000002,-1945269.0000000019,98054731.0
2025-01-02,STB,BUY,37.0,265000,9805000.0,0.0,Score=6.2,,-1.945269000000002,-1945269.0000000019,98054731.0
2025-04-09,STB,SELL,33.1,265000,,-1033500.0,STOP_LOSS,8771500.0,-2.978769000000002,-2978769.000000002,97021231.0
2025-01-02,VNM,BUY,58.21,166600,9697786.0,0.0,Score=6.2,,-2.978769000000002,-2978769.000000002,97021231.0
2025-04-03,VNM,SELL,52.12,166600,,-1014594.0,STOP_LOSS,8683192.0,-3.9933630000000018,-3993363.000000002,96006637.0
2025-01-02,MWG,BUY,59.74,160700,9600218.0,0.0,Score=6.2,,-3.9933630000000018,-3993363.000000002,96006637.0
2025-02-13,MWG,SELL,54.02,160700,,-919204.0,STOP_LOSS,8681014.0,-4.912567000000002,-4912567.000000002,95087433.0
2025-01-02,TCB,BUY,23.72,400800,9506976.0,0.0,Score=6.2,,-4.912567000000002,-4912567.000000002,95087433.0
2025-03-11,TCB,SELL,27.28,400800,,1426848.0,TAKE_PROFIT,10933824.0,-3.485719000000002,-3485719.000000002,96514281.0
2025-01-02,PNJ,BUY,95.73,100800,9649584.0,0.0,Score=6.2,,-3.485719000000002,-3485719.000000002,96514281.0
2025-03-13,PNJ,SELL,88.54,100800,,-724752.0,STOP_LOSS,8924832.0,-4.210471000000002,-4210471.000000002,95789529.0
2025-01-02,VHC,BUY,68.71,139400,9578174.0,0.0,Score=6.2,,-4.210471000000002,-4210471.000000002,95789529.0
2025-01-10,VHC,SELL,62.82,139400,,-821066.0,STOP_LOSS,8757108.0,-5.031537000000002,-5031537.000000002,94968463.0
2025-01-02,VGI,BUY,91.19,104100,9492879.0,0.0,Score=6.0,,-5.031537000000002,-5031537.000000002,94968463.0
2025-01-10,VGI,SELL,84.36,104100,,-711003.0,STOP_LOSS,8781876.0,-5.742540000000002,-5742540.000000002,94257460.0
