feature,importance
return_1d_std_20,0.04657332027498702
volatility_20d,0.04217150677442658
return_1d_min_10,0.04194693514659411
return_1d_std_10,0.04021855656302461
return_1d_min_20,0.034116019043958404
return_1d_max_20,0.030545898275232623
sma20_vs_sma50,0.02949111187534291
hl_range,0.026466292068437182
return_1d_max_10,0.0213708762810633
price_vs_sma50,0.02041826928155282
volatility_5d,0.0196532588269808
macd_diff_lag5,0.018559570271671627
return_1d_std_5,0.017563326562446854
return_1d_min_5,0.01731423993693442
return_1d_mean_20,0.016774970704531753
sma_50,0.016459738421540932
return_1d_max_5,0.016184331899175043
sma_5,0.014937887328026566
sma_10,0.014837539800996781
macd_signal,0.01481556680778539
return_20d,0.014584804533331785
return_10d,0.014443789221106345
sma_20,0.014407174193104161
volume_min_10,0.014152587413536684
macd_diff_lag3,0.014026467854447684
volume_std_20,0.013830250660523522
volume_min_20,0.013715692475685657
return_1d_mean_10,0.013598942505499928
volume_mean_20,0.013584717278441693
volume_std_10,0.013436362178679256
sma5_vs_sma20,0.013434248594405554
price_vs_sma20,0.01339045380389346
macd,0.013063495361634862
volume_max_20,0.013039395983069196
return_5d,0.012508198700663477
volume_max_10,0.012219320321088951
volume_min_5,0.012098425561824689
momentum_20,0.012033748278539822
volume_mean_10,0.01193508883072773
return_1d_mean_5,0.011914825916432193
macd_diff,0.011650191067730319
price_vs_sma5,0.011198841674781397
rsi_14,0.011190626530619497
volume_max_5,0.011002401570218368
macd_diff_lag1,0.010856525212336826
macd_diff_lag2,0.010509309068371409
momentum_10,0.010166571053381748
rsi_14_lag5,0.010154943551526113
rsi_14_lag3,0.01013933061586473
volume_std_5,0.009496974776001307
volume_mean_5,0.0094702718101377
rsi_14_lag1,0.009451170381661543
volume_vs_ma,0.00927397005933114
volume_ma_5,0.009214490413820586
momentum_5,0.00895776432350182
rsi_14_lag2,0.008519192043255845
return_1d,0.008471356242378283
return_1d_lag5,0.00817303526989951
volume_change_lag5,0.007887337377446626
volume_change_lag1,0.007373635756717537
volume_change_lag2,0.007133339738270461
volume_change_lag3,0.007048320220694877
volume_change,0.006833009200578014
return_1d_lag2,0.006812051940297513
return_1d_lag1,0.006611317745698944
return_1d_lag3,0.006566816544131557
