feature,importance
return_1d_std_20,0.048452095334854554
volatility_20d,0.04459724257665377
return_1d_std_10,0.0402023696353818
return_1d_min_10,0.03877147838835624
return_1d_min_20,0.033379391926945154
return_1d_max_20,0.02875698609856674
sma20_vs_sma50,0.026396153508201528
hl_range,0.02540900538102586
volatility_5d,0.021362881919574903
price_vs_sma50,0.02120327584200757
return_1d_max_10,0.020595861388471696
sma_50,0.018603412493388215
macd_diff_lag5,0.01822984904972069
return_1d_std_5,0.01786162275071293
sma_20,0.01665755032817278
return_1d_mean_20,0.01665015135631784
return_20d,0.01632102010779305
return_1d_min_5,0.015694915745875827
return_1d_max_5,0.015688005711689653
sma_10,0.01558084839809147
volume_std_20,0.014951770391519117
volume_min_20,0.01486608123076521
macd_signal,0.014719692197030645
sma_5,0.014717270245200531
price_vs_sma20,0.013979673094800494
macd_diff_lag3,0.013567769189715768
volume_mean_20,0.013392849969331154
volume_min_10,0.013340803955539137
sma5_vs_sma20,0.013322758055858842
volume_std_10,0.01320663821726108
volume_max_10,0.013126651399377496
macd_diff_lag2,0.012868111287056649
momentum_20,0.01265914030397773
return_10d,0.012604984398224663
volume_max_20,0.012581828525374332
macd,0.012242774667496167
volume_min_5,0.012135698962630474
macd_diff,0.011894982958257614
return_1d_mean_10,0.011816584856497963
return_1d_mean_5,0.011795726828490873
volume_mean_10,0.01148798777229696
rsi_14_lag5,0.011342180570779972
price_vs_sma5,0.011134098345052669
volume_max_5,0.011080144538710068
macd_diff_lag1,0.010886148909082176
rsi_14_lag2,0.010588934338758984
rsi_14,0.0099509900696544
momentum_10,0.00994950803142556
rsi_14_lag3,0.009794376867559736
return_5d,0.009695211020395817
rsi_14_lag1,0.009687485351668176
volume_mean_5,0.009656928502014805
volume_vs_ma,0.009564717241179198
volume_std_5,0.009534936576354385
volume_ma_5,0.009355836169856985
momentum_5,0.008851787278517285
return_1d,0.008467808207998737
return_1d_lag5,0.007999374315913165
volume_change_lag1,0.007531343810858392
volume_change_lag2,0.007487806284779546
volume_change,0.00737886021767485
return_1d_lag1,0.007341834541479322
volume_change_lag5,0.0071747719441600435
volume_change_lag3,0.006773381694242342
return_1d_lag2,0.00657468389093855
return_1d_lag3,0.006502954832439723
