feature,importance
return_1d_std_20,0.047649138982820104
return_1d_std_10,0.04405061377427311
volatility_20d,0.041978212308993436
return_1d_min_10,0.03623135629189783
return_1d_min_20,0.032218664623376456
return_1d_max_20,0.027929720299945268
hl_range,0.02761412379440221
sma20_vs_sma50,0.027563939909241095
price_vs_sma50,0.02177046546169619
volatility_5d,0.021173886420858098
return_1d_max_10,0.020934789712383314
return_1d_min_5,0.019208870310612133
return_1d_std_5,0.01857062795460472
sma_50,0.01773499375911028
macd_signal,0.016117192244380373
return_1d_mean_20,0.015808370610143632
return_1d_max_5,0.0157645078334006
price_vs_sma20,0.015763718915494173
sma_5,0.015744411827331984
volume_min_20,0.015640383759076875
macd_diff_lag5,0.015589646490687468
sma_20,0.015368273103308223
sma_10,0.015034415340165568
return_20d,0.01489261783215148
volume_std_20,0.01439813870897805
macd,0.014300396373832826
sma5_vs_sma20,0.014090123213305694
volume_min_10,0.013688214423687022
return_1d_mean_10,0.013640849917808912
momentum_20,0.013241221086921846
volume_std_10,0.01316215732779794
macd_diff_lag3,0.012932420692233514
volume_min_5,0.012418444644142566
volume_mean_10,0.01235576033281664
volume_max_10,0.01233669285602092
macd_diff,0.011885473299599872
macd_diff_lag1,0.011608005114683123
rsi_14_lag5,0.011603015590876406
macd_diff_lag2,0.011577704325102049
volume_mean_20,0.011474682105306937
return_10d,0.011423308741907159
volume_max_20,0.011422524341466926
volume_max_5,0.011063895730408127
rsi_14,0.010608492925407267
return_5d,0.010480641393685841
return_1d_mean_5,0.010406385909352087
volume_std_5,0.010121909196435592
rsi_14_lag2,0.010078699018080957
price_vs_sma5,0.010022484780464134
rsi_14_lag1,0.00995824058286614
volume_mean_5,0.009804363225401718
rsi_14_lag3,0.00953091136095635
volume_vs_ma,0.009520814687599731
momentum_10,0.009256378274660377
volume_ma_5,0.009234620360882363
return_1d_lag5,0.009232645256695617
momentum_5,0.008901847798151463
return_1d,0.00842843012052262
volume_change_lag2,0.0077017271008775826
volume_change,0.007463410699719089
return_1d_lag1,0.0071053257171022335
return_1d_lag3,0.006972685692922249
volume_change_lag3,0.00696772655800383
volume_change_lag5,0.006636637580861844
return_1d_lag2,0.006591413782310865
volume_change_lag1,0.005998237589788897
